Småortskod 
 	Småort_Beteckning 
(Namn) 	Typ 
  	Landareal 
hektar 	Folkmängd  
2010.12.31 	Fritidshusomr 
andel 	Kommun 
Namn 	Kommun
kod
S0801	Årsta havsbad	-	119.25	356	0.95	Haninge	0136
S0805	Åsättra	-	24.71	124	0	Österåker	0117
S0807	Åvinge	-	13.11	71	0	Botkyrka	0127
S0809	Älgö	-	192.47	751	0.93	Nacka	0182
S0811	Ällmora	-	69.43	101	0.64	Tyresö	0138
S0817	Älvsala	-	67.32	132	0.95	Värmdö	0120
S0822	Ölsta	Ny	6.88	147	0	Sigtuna	0191
S0825	Norrdal + Lövhamra + Ösby	-	52.5	154	0	Vallentuna	0115
S0826	Örsta	Ny	9.79	58	0	Vallentuna	0115
S0827	Österby	-	6.74	79	0	Sigtuna	0191
S0829	Österhaninge	-	38.87	131	0	Haninge	0136
S0831	Österby+Söderby kvarn	-	13.84	62	0	Nynäshamn	0192
S0839	Libby	-	15.81	62	0	Norrtälje	0188
S0843	Överby	-	486.45	279	0.93	Värmdö	0120
S0845	Björksta	-	31.5	156	0	Knivsta	0330
S0847	Björken	-	11.76	64	0	Uppsala	0380
S0851	Almunge kyrkby	-	30.49	76	0	Uppsala	0380
S0853	Bodarna	-	27.8	128	0	Uppsala	0380
S0854	Bredsand södra och Skogsbo	Ny	12.81	64	0	Enköping	0381
S0855	Balingsta	-	16.54	74	0	Uppsala	0380
S0858	Broby hage	Ny	6.56	92	0	Uppsala	0380
S0861	Danmark	-	20.53	160	0	Uppsala	0380
S0867	Ekolsund	-	25.01	79	0	Enköping	0381
S0869	Ekeby	-	28.97	52	0	Östhammar	0382
S0871	Ensta	-	28.98	145	0	Uppsala	0380
S0875	Brunnsta	-	15.33	76	0	Håbo	0305
S0877	Fagerviken	-	77.52	124	0.26	Tierp	0360
S0881	Film	-	28.88	105	0	Östhammar	0382
S0885	Finnerånger	-	43.44	70	0	Tierp	0360
S0887	Edshamar + Granängen	-	12.71	62	0	Uppsala	0380
S0889	Fjuckby västra	-	18.93	67	0	Uppsala	0380
S0893	Forkarby	-	27.63	118	0	Uppsala	0380
S0897	Forsmark	-	24.98	66	0	Östhammar	0382
S0899	Frötuna gård	Ny	13.66	66	0	Uppsala	0380
S0901	Funbo	-	18.53	74	0	Uppsala	0380
S0905	Försäter	-	31.58	90	0	Tierp	0360
S0907	Gryttby	-	21.63	64	0	Tierp	0360
S0909	Getberget och Notholmen	-	15.32	65	0	Håbo	0305
S0911	Grimsta och Lundvreten	-	22.07	149	0	Uppsala	0380
S0913	Gränsta	-	26.46	92	0	Uppsala	0380
S0915	Gästre	-	14.05	59	0	Enköping	0381
S0919	Gräsö	-	26.22	109	0	Östhammar	0382
S0921	Hammarby östra	-	4.53	72	0	Uppsala	0380
S0923	Johannesberg och Myrängen	-	23.69	83	0	Uppsala	0380
S0925	Harg	-	33.33	72	0	Östhammar	0382
S0927	Halmby	-	12.47	81	0	Knivsta	0330
S0929	Hjälstaby och Vängsta	-	27.89	108	0	Enköping	0381
S0931	Hammarby by	-	11.25	50	0	Uppsala	0380
S0933	Husby	-	13.32	55	0	Tierp	0360
S0935	Gunggräna	-	11.97	67	0	Uppsala	0380
S0936	Gysta	Ny	7.99	51	0	Uppsala	0380
S0939	Hammarsudd	-	31.18	72	0.61	Enköping	0381
S0941	Hållnäs	-	39.28	87	0	Tierp	0360
S0943	Häggeby	-	28.57	101	0.95	Uppsala	0380
S0949	Hökhuvud	-	29.69	107	0	Östhammar	0382
S0953	Järlåsa	-	42.15	121	0	Uppsala	0380
S0957	Kivinge + Kumla + Jädra	-	31.66	138	0.58	Håbo	0305
S0962	Knivsbrunna	Ny	8.54	62	0	Uppsala	0380
S0963	Kolarvik	-	36.71	84	0.84	Enköping	0381
